time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-06-18T19:53:26.967Z,31.662,-104.306,6.7151,2.9,ml,40,58,0,0.1,tx,tx2024lyhk,2024-06-18T20:13:16.040Z,"57 km S of Whites City, New Mexico",earthquake,0.5757043250286049,0.5866680944303926,0.2,33,reviewed,tx,tx
2024-06-18T18:46:59.399Z,-23.8157,-67.0322,226.342,4.6,mb,22,121,1.36,0.8,us,us7000mt9e,2024-06-18T19:55:58.040Z,"85 km WNW of San Antonio de los Cobres, Argentina",earthquake,11.84,9.673,0.245,5,reviewed,us,us
2024-06-18T17:11:01.576Z,-2.1881,-77.2275,145.518,4.6,mb,104,51,1.054,0.9,us,us7000mt8i,2024-06-18T19:49:01.040Z,"98 km ESE of Palora, Ecuador",earthquake,8.32,4.824,0.064,74,reviewed,us,us
2024-06-18T16:40:58.716Z,44.4462,-125.6249,10,2.6,ml,25,236,1.25,0.79,us,us7000mt84,2024-06-19T03:23:34.626Z,"122 km W of Yachats, Oregon",earthquake,3.77,2.01,0.034,112,reviewed,us,us
2024-06-18T16:33:55.999Z,44.0166,-72.0023,6.989,2.6,mb_lg,22,77,0.373,0.41,us,us7000mt82,2024-06-19T13:44:43.594Z,"5 km ESE of Haverhill, New Hampshire",earthquake,1.11,4.746,0.073,50,reviewed,us,us
2024-06-18T16:10:54.589Z,31.4413,-115.5421,13.485,2.9,ml,19,245,1.245,0.51,us,us7000mt72,2024-06-18T18:24:49.040Z,"68 km E of San Vicente, Mexico",earthquake,4.4,8.66,0.055,44,reviewed,us,us
2024-06-18T15:59:58.060Z,19.1876666666667,-155.5005,35.94,2.76,ml,47,75,0.04844,0.1,hv,hv74282091,2024-06-18T23:38:38.480Z,"2 km SW of Pāhala, Hawaii",earthquake,0.42,0.47,0.148003599523578,35,reviewed,hv,hv
2024-06-18T15:47:40.323Z,-17.0993,-71.1115,115.856,4.7,mb,48,134,1.462,1.23,us,us7000mt6w,2024-06-18T17:27:45.040Z,"21 km WNW of Moquegua, Peru",earthquake,6.46,8.264,0.071,60,reviewed,us,us
2024-06-18T14:58:06.090Z,36.6501655578613,-121.293998718262,7.40000009536743,2.88,md,61,31,,0.23,nc,nc75023577,2024-06-18T18:47:27.200Z,"16 km S of Tres Pinos, CA",earthquake,0.27,0.660000026,0.11,71,automatic,nc,nc
2024-06-18T13:49:44.456Z,-38.9664,177.6503,18.954,4.4,mwr,38,147,0.63,0.8,us,us7000mt6g,2024-06-18T19:43:42.660Z,"23 km SSE of Tiniroto, New Zealand",earthquake,6.37,5.005,0.069,20,reviewed,us,us
2024-06-18T13:42:55.315Z,35.239,87.5539,10,4.5,mb,45,90,7.666,0.99,us,us7000mt6f,2024-06-18T15:33:54.040Z,"western Xizang",earthquake,10.33,1.916,0.082,44,reviewed,us,us
2024-06-18T13:23:44.804Z,-6.0784,131.5042,78.965,4.2,mb,19,59,2.22,0.9,us,us7000mt6b,2024-06-18T15:12:41.040Z,"146 km WSW of Tual, Indonesia",earthquake,9.69,15.081,0.167,10,reviewed,us,us
2024-06-18T13:08:03.419Z,-19.9577,-48.8587,11.416,4.3,mb,26,44,2.685,0.65,us,us7000mt65,2024-06-19T13:15:31.688Z,"11 km NE of Frutal, Brazil",earthquake,6.96,5.8,0.16,11,reviewed,us,us
2024-06-18T13:03:42.465Z,60.2837,-141.1305,10.7,2.5,ml,,,,0.81,ak,ak0247td4d8m,2024-06-18T14:52:47.040Z,"113 km NW of Yakutat, Alaska",earthquake,,0.1,,,automatic,ak,ak
2024-06-18T12:26:25.810Z,32.6378333,-115.7308333,8.72,2.53,ml,44,51,0.01206,0.23,ci,ci40801648,2024-06-18T14:29:13.964Z,"15 km WNW of Progreso, B.C., MX",earthquake,0.21,0.43,0.217,25,reviewed,ci,ci
2024-06-18T11:43:39.400Z,39.5068321228027,-121.99649810791,16.7999992370605,2.8,md,11,128,0.109,0.36,nc,nc75023552,2024-06-19T03:09:40.007Z,"17 km ESE of Willows, CA",earthquake,1.3,2.02999997,0.22,9,automatic,nc,nc
2024-06-18T11:27:58.388Z,60.1438,-140.7726,0,3.2,ml,,,,1.07,ak,ak0247tc2ogk,2024-06-18T12:17:20.040Z,"88 km NW of Yakutat, Alaska",earthquake,,0.2,,,automatic,ak,ak
2024-06-18T11:21:10.815Z,24.8435,125.3752,44.294,4.7,mb,39,115,1.136,1.25,us,us7000mt5s,2024-06-18T12:31:22.040Z,"8 km ENE of Hirara, Japan",earthquake,8.3,5.494,0.084,43,reviewed,us,us
2024-06-18T09:54:49.224Z,35.2605,58.4582,10,4.9,mb,77,69,8.777,1.07,us,us7000mt58,2024-06-19T04:45:44.098Z,"2 km NNW of Kāshmar, Iran",earthquake,7.95,1.859,0.048,134,reviewed,us,us
2024-06-18T09:51:20.832Z,-32.0236,-177.167,70.786,5.2,mb,25,157,2.828,0.91,us,us7000mt55,2024-06-18T10:10:31.040Z,"south of the Kermadec Islands",earthquake,13.93,9.374,0.115,25,reviewed,us,us
2024-06-18T09:36:09.450Z,59.6354,-157.4672,249.5,2.5,ml,,,,1.19,ak,ak0247taxmwh,2024-06-18T17:05:46.315Z,"14 km SW of Koliganek, Alaska",earthquake,,5.8,,,automatic,ak,ak
2024-06-18T09:28:18.456Z,30.3511,138.5063,439.431,4.3,mb,80,50,2.972,0.73,us,us7000mt52,2024-06-18T11:33:09.040Z,"Izu Islands, Japan region",earthquake,10.87,6.452,0.034,246,reviewed,us,us
2024-06-18T08:56:49.490Z,17.8163333333333,-66.8745,13.87,2.61,md,7,233,0.1579,0.09,pr,pr71453173,2024-06-18T09:15:22.020Z,"17 km SSE of Guánica, Puerto Rico",earthquake,0.75,0.45,0.0577780928357754,4,reviewed,pr,pr
2024-06-18T06:51:02.760Z,17.9955,-65.8171666666667,16.38,2.48,md,10,198,0.1489,0.14,pr,pr71453168,2024-06-18T07:07:19.850Z,"5 km SE of El Negro, Puerto Rico",earthquake,0.59,1.08,0.085256426843852,6,reviewed,pr,pr
2024-06-18T06:40:38.060Z,-16.6351,-173.8371,53.927,5.8,mww,112,45,3.358,0.72,us,us7000mt4l,2024-06-19T06:44:13.561Z,"75 km S of Hihifo, Tonga",earthquake,7.51,3.525,0.056,31,reviewed,us,us
2024-06-18T06:10:23.292Z,60.3197,-138.0879,0.95,2.9,ml,39,102,0.584,0.7,us,us7000mt4i,2024-06-18T08:32:45.040Z,"125 km NE of Yakutat, Alaska",earthquake,3.85,6.701,0.043,70,reviewed,us,us
2024-06-18T05:22:10.311Z,-7.298,155.2102,10,4.9,mb,27,90,5.147,0.72,us,us7000mt4d,2024-06-18T05:45:29.040Z,"112 km SSW of Panguna, Papua New Guinea",earthquake,11.23,1.891,0.068,68,reviewed,us,us
2024-06-18T03:46:57.290Z,24.1125,121.7615,18.338,4.7,mb,51,66,0.164,0.53,us,us7000mt4b,2024-06-18T06:34:41.870Z,"21 km NE of Hualien City, Taiwan",earthquake,2.82,3.563,0.061,80,reviewed,us,us
2024-06-18T02:44:41.010Z,18.4663333333333,-67.3386666666667,142.73,3.42,md,8,182,0.5066,0.08,pr,pr71453123,2024-06-18T11:37:32.292Z,"16 km NW of Rincón, Puerto Rico",earthquake,2.01,0.73,0.0503812926370157,4,reviewed,pr,pr
2024-06-18T02:22:09.941Z,-3.9249,-76.6766,104.872,5.5,mww,145,39,2.766,0.48,us,us7000mt41,2024-06-19T02:25:25.070Z,"56 km SSW of Alianza Cristiana, Peru",earthquake,8.31,2.491,0.034,83,reviewed,us,us
2024-06-18T01:10:10.059Z,17.5049,-105.0602,10,5,mb,116,67,4.213,0.6,us,us7000mt3p,2024-06-18T04:30:54.040Z,"188 km SSW of Cuyutlán, Mexico",earthquake,8.89,1.792,0.023,608,reviewed,us,us
2024-06-17T23:07:55.911Z,-32.376,-70.3783,118.7,4.3,mb,27,104,0.805,0.49,us,us7000mt3g,2024-06-17T23:50:39.040Z,"52 km NE of San Felipe, Chile",earthquake,4.65,5.938,0.216,6,reviewed,us,us
2024-06-17T22:37:24.521Z,-7.0197,127.8573,272.176,4.3,mb,19,69,4.472,0.58,us,us7000mt39,2024-06-17T23:03:56.040Z,"191 km NNE of Lospalos, Timor Leste",earthquake,5.93,10.171,0.202,7,reviewed,us,us
2024-06-17T20:49:58.754Z,-6.3443,146.2942,103.731,5.2,mww,108,25,3.159,0.66,us,us7000mt2v,2024-06-18T02:12:32.748Z,"47 km E of Kainantu, Papua New Guinea",earthquake,7.14,4.269,0.066,22,reviewed,us,us
2024-06-17T17:15:28.488Z,51.6951,-175.0431,10,3.7,mb,17,221,0.729,0.88,us,us7000mt1l,2024-06-17T21:15:24.131Z,"80 km SW of Atka, Alaska",earthquake,6.52,2.013,0.099,26,reviewed,us,us
2024-06-17T17:15:14.931Z,-2.2629,138.4883,28.079,4.2,mb,17,110,2.227,0.33,us,us7000mt1n,2024-06-17T21:13:20.040Z,"241 km W of Abepura, Indonesia",earthquake,9.15,6.111,0.159,11,reviewed,us,us
2024-06-17T16:31:09.706Z,41.8753,142.608,76.228,4.3,mb,24,143,0.433,0.55,us,us7000mt1f,2024-06-17T17:15:50.040Z,"34 km SSW of Urakawa, Japan",earthquake,8.37,9.042,0.16,11,reviewed,us,us
2024-06-17T15:29:48.440Z,42.6173333333333,-111.496,3.45,2.57,ml,16,145,0.5436,0.18,uu,uu80073886,2024-06-18T17:31:31.860Z,"9 km ESE of Soda Springs, Idaho",earthquake,0.82,2.98,0.200307623783,8,reviewed,uu,uu
2024-06-17T15:08:19.527Z,31.664,-104.312,6.4075,2.7,ml,37,58,0,0.2,tx,tx2024lwcm,2024-06-17T17:16:51.109Z,"57 km S of Whites City, New Mexico",earthquake,0.7307838790160135,0.8209826799839554,0.2,29,reviewed,tx,tx
2024-06-17T14:34:21.872Z,31.662,-104.313,6.4587,2.5,ml,33,68,0,0.2,tx,tx2024lwbk,2024-06-17T19:16:19.755Z,"57 km S of Whites City, New Mexico",earthquake,0.7610360651984795,0.8434291292778112,0.2,25,reviewed,tx,tx
2024-06-17T14:09:44.209Z,-11.4526,166.2368,48.694,5.6,mww,158,17,6.501,0.61,us,us7000mt0h,2024-06-18T14:13:30.869Z,"93 km SSE of Lata, Solomon Islands",earthquake,9.85,3.944,0.066,22,reviewed,us,us
2024-06-17T14:05:14.143Z,-18.8182,-173.2767,10,5.5,mww,77,33,5.088,1.31,us,us7000mt0e,2024-06-18T14:09:04.957Z,"76 km ESE of Neiafu, Tonga",earthquake,11.31,1.778,0.083,14,reviewed,us,us
2024-06-17T12:49:59.188Z,31.66,-104.302,7.0612,3.1,ml,48,67,0,0.1,tx,tx2024lvxy,2024-06-17T13:20:04.040Z,"57 km S of Whites City, New Mexico",earthquake,0.4927781579504061,0.6071205168318345,0.2,34,reviewed,tx,tx
2024-06-17T11:32:13.050Z,36.852165222168,-121.295997619629,7.5,2.59,md,47,48,,0.07,nc,nc75023222,2024-06-18T06:05:32.840Z,"7 km NNE of Tres Pinos, CA",earthquake,0.17,0.430000007,0.1,68,automatic,nc,nc
2024-06-17T10:08:14.610Z,18.0415,-68.0996666666667,16.16,3.19,md,11,209,0.541,0.27,pr,pr71452993,2024-06-17T10:40:09.530Z,"65 km SE of Boca de Yuma, Dominican Republic",earthquake,1.65,1.98,0.0218570995017733,9,reviewed,pr,pr
2024-06-17T09:26:05.054Z,31.7335,131.7102,45.53,4.5,mb,43,107,1.096,1.02,us,us7000msyr,2024-06-18T03:23:31.402Z,"34 km SE of Miyazaki, Japan",earthquake,6.73,7.928,0.074,54,reviewed,us,us
2024-06-17T08:45:47.390Z,19.0223333333333,-155.440166666667,36.71,2.59,ml,59,208,0.1223,0.11,hv,hv74280471,2024-06-18T01:32:02.820Z,"15 km ESE of Naalehu, Hawaii",earthquake,0.39,0.49,0.183475068081723,23,reviewed,hv,hv
2024-06-17T08:40:35.354Z,-3.3962,148.8276,10,5.3,mww,43,95,6.195,0.81,us,us7000msyi,2024-06-17T09:16:12.040Z,"229 km SE of Lorengau, Papua New Guinea",earthquake,10.29,1.884,0.06,27,reviewed,us,us
2024-06-17T08:36:56.711Z,-24.2521,-67.0513,165.864,4.2,mb,24,103,2.481,0.62,us,us7000msyg,2024-06-17T09:46:33.040Z,"74 km W of San Antonio de los Cobres, Argentina",earthquake,6.45,14.412,0.215,6,reviewed,us,us
2024-06-17T07:15:58.063Z,54.7308,-161.5292,42.862,4,ml,59,178,0.462,0.65,us,us7000msy7,2024-06-17T15:49:25.264Z,"62 km SE of King Cove, Alaska",earthquake,6.28,13.383,0.081,20,reviewed,us,us
